fakhouz	famly   	foulad
43770.00	3813.00	4293.00
43566.00	3739.00	4293.00
43399.00	3727.00	4350.00
43402.00	3718.00	4474.00
44744.00	3727.00	4468.00
45072.00	3728.00	4472.00
44682.00	3866.00	4421.00
44078.00	3951.00	4331.00
42635.00	3873.00	4287.00
41432.00	3830.00	4270.00
40470.00	3799.00	4318.00
41545.00	3948.00	4488.00
41288.00	4093.00	4497.00
40662.00	4241.00	4491.00
40402.00	4245.00	4426.00
39897.00	4254.00	4369.00
41222.00	4224.00	4359.00
42714.00	4181.00	4437.00
42915.00	4292.00	4600.00
42314.00	4302.00	4590.00
41750.00	4257.00	4472.00
42147.00	4412.00	4612.00
43240.00	4577.00	4796.00
43240.00	4583.00	4722.00
43240.00	4632.00	4602.00
43240.00	4523.00	4469.00
43240.00	4530.00	4420.00
11847.00	4698.00	4577.00
11847.00	4821.00	4719.00
11847.00	4803.00	4905.00
11847.00	4759.00	4797.00
12571.00	4713.00	4810.00
12098.00	4743.00	4814.00
12038.00	4775.00	4940.00
12075.00	4741.00	5050.00
12048.00	4692.00	5094.00
12027.00	4655.00	5022.00
11996.00	4597.00	4992.00
11970.00	4471.00	5024.00
11692.00	4295.00	4838.00
11675.00	4305.00	4919.00
11600.00	4290.00	4896.00
11320.00	4205.00	4779.00
11281.00	4099.00	4767.00
10974.00	3967.00	4693.00
10593.00	3925.00	4680.00
10559.00	3879.00	4574.00
10316.00	3915.00	4577.00
10169.00	3915.00	4498.00
9933.00	3904.00	4394.00
9919.00	3914.00	4406.00
9907.00	4017.00	4454.00
9906.00	4058.00	4503.00
9769.00	4018.00	4481.00
9727.00	3990.00	4463.00
9460.00	3935.00	4429.00
9414.00	3909.00	4387.00
9292.00	3826.00	4212.00
8994.00	3837.00	4369.00
8860.00	3832.00	4369.00
8716.00	3809.00	4331.00
8725.00	3787.00	4322.00
8849.00	3850.00	4337.00
8955.00	3874.00	4359.00
8960.00	3842.00	4322.00
8984.00	3825.00	4315.00
9017.00	3796.00	4314.00
9013.00	3764.00	4287.00
8993.00	3730.00	4238.00
8950.00	3685.00	4196.00
8932.00	3625.00	4154.00
8919.00	3588.00	4136.00
8887.00	3542.00	4103.00
8744.00	3489.00	4062.00
8747.00	3464.00	4043.00
8778.00	3493.00	4041.00
8780.00	3488.00	4032.00
8774.00	3463.00	4013.00
8763.00	3441.00	3995.00
8754.00	3390.00	3981.00
8785.00	3375.00	3968.00
8887.00	3353.00	4081.00
9241.00	3265.00	4153.00
9488.00	3270.00	4314.00
9398.00	3240.00	4339.00
9393.00	3187.00	4323.00
9386.00	3188.00	4320.00
9377.00	3184.00	4306.00
9360.00	3183.00	4296.00
9353.00	3190.00	4292.00
9342.00	3231.00	4281.00
9329.00	3255.00	4260.00
9299.00	3261.00	4213.00
9272.00	3268.00	4199.00
9234.00	3298.00	4178.00
9207.00	3298.00	4178.00
9182.00	3281.00	4148.00
9131.00	3241.00	4146.00
8985.00	3197.00	4033.00
8956.00	3156.00	3991.00
8949.00	3167.00	4003.00
8940.00	3159.00	3991.00
8941.00	3161.00	4019.00
9199.00	3212.00	4164.00
9566.00	3268.00	4316.00
9619.00	3292.00	4318.00
10000.00	3328.00	4480.00
9971.00	3324.00	4446.00
9921.00	3278.00	4402.00
9875.00	3247.00	4385.00
9800.00	3242.00	4376.00
9779.00	3230.00	4361.00
9763.00	3236.00	4355.00
9737.00	3238.00	4357.00
9715.00	3193.00	4372.00
9708.00	3172.00	4366.00
9682.00	3175.00	4355.00
9671.00	3055.00	4341.00
9682.00	3094.00	4323.00
9615.00	3168.00	4299.00
9615.00	3148.00	4277.00
9615.00	3154.00	4249.00
9615.00	3151.00	4225.00
8135.00	3156.00	4260.00
8139.00	3159.00	4289.00
8139.00	3161.00	4281.00
8169.00	3150.00	4271.00
8166.00	3146.00	4238.00
8150.00	3138.00	4223.00
8133.00	3134.00	4199.00
8103.00	3116.00	4181.00
8086.00	3110.00	4166.00
8074.00	3104.00	4157.00
8052.00	3086.00	4144.00
8036.00	3059.00	4131.00
8017.00	3042.00	4117.00
8003.00	3027.00	4107.00
7980.00	3000.00	4060.00
7954.00	2992.00	4023.00
7901.00	2960.00	3997.00
7864.00	2949.00	3981.00
7828.00	2930.00	3947.00
7814.00	2875.00	3929.00
7807.00	2867.00	3947.00
7803.00	2862.00	4010.00
7770.00	2810.00	4017.00
7751.00	2825.00	4055.00
7732.00	2813.00	4028.00
7706.00	2795.00	4013.00
7689.00	2790.00	3997.00
7672.00	2774.00	3962.00
7608.00	2735.00	3943.00
7578.00	2728.00	3937.00
7665.00	2752.00	4015.00
7659.00	2754.00	4005.00
7665.00	2754.00	3985.00
7671.00	2774.00	3994.00
7668.00	2777.00	3993.00
7665.00	2777.00	4009.00
7735.00	2777.00	4027.00
7730.00	2777.00	4039.00
7719.00	2460.00	3970.00
7704.00	2513.00	3970.00
7691.00	2587.00	3970.00
7672.00	2593.00	3310.00
7615.00	2582.00	3310.00
7568.00	2575.00	3356.00
7540.00	2673.00	3366.00
7521.00	2685.00	3366.00
7491.00	2692.00	3362.00
7472.00	2664.00	3362.00
7439.00	2652.00	3362.00
7419.00	2646.00	3362.00
7386.00	2637.00	3362.00
7351.00	2630.00	2670.00
7333.00	2609.00	2670.00
7304.00	2597.00	2736.00
7274.00	2587.00	2737.00
7259.00	2603.00	2730.00
7232.00	2600.00	2718.00
7197.00	2590.00	2690.00
7180.00	2574.00	2671.00
7177.00	2569.00	2659.00
7161.00	2562.00	2655.00
7149.00	2557.00	2646.00
7113.00	2550.00	2616.00
7085.00	2527.00	2560.00
7069.00	2519.00	2547.00
7006.00	2511.00	2537.00
6925.00	2506.00	2529.00
6918.00	2492.00	2525.00
6896.00	2482.00	2515.00
6892.00	2467.00	2510.00
6884.00	2456.00	2502.00
6878.00	2434.00	2496.00
6861.00	2417.00	2498.00
6846.00	2401.00	2524.00
6843.00	2410.00	2562.00
6835.00	2422.00	2599.00
6832.00	2474.00	2595.00
6825.00	2465.00	2585.00
6817.00	2459.00	2562.00
6809.00	2450.00	2558.00
6805.00	2444.00	2555.00
6797.00	2438.00	2551.00
6779.00	2431.00	2549.00
6767.00	2430.00	2545.00
7020.00	2439.00	2543.00
7010.00	2434.00	2539.00
7002.00	2431.00	2536.00
6991.00	2425.00	2531.00
6988.00	2420.00	2521.00
6964.00	2414.00	2513.00
6955.00	2403.00	2527.00
6898.00	2392.00	2542.00
6885.00	2385.00	2548.00
6881.00	2380.00	2551.00
